Data/Ora, Biossido di Azoto - µg/m³
2021/06/05,21.8
2021/06/06,13.6
2021/06/07,29.8
2021/06/08,35.5
2021/06/09,36.0
2021/06/10,31.6
2021/06/11,30.5
2021/06/12,26.0
2021/06/13,21.4
2021/06/14,20.5
2021/06/15,19.9
2021/06/16,33.1
2021/06/17,27.8
2021/06/18,24.7
2021/06/19,18.2
2021/06/20,20.1
2021/06/21,20.5
2021/06/22,17.6
2021/06/23,24.2
2021/06/24,27.7
2021/06/25,21.4
2021/06/26,18.8
2021/06/27,24.6
2021/06/28,30.6
2021/06/29,22.1
2021/06/30,23.6
2021/07/01,22.8
2021/07/02,24.9
2021/07/03,23.3
2021/07/04,17.0
2021/07/05,25.1
2021/07/06,29.2
2021/07/07,26.0
2021/07/08,28.5
2021/07/09,22.8
2021/07/10,33.6
2021/07/11,15.9
2021/07/12,25.5
2021/07/13,19.0
2021/07/14,31.5
2021/07/15,25.3
2021/07/16,29.5
2021/07/17,21.0
2021/07/18,23.3
2021/07/19,26.6
2021/07/20,26.9
2021/07/21,25.3
2021/07/22,25.1
2021/07/23,18.8
2021/07/24,18.1
2021/07/25,12.5
2021/07/26,24.4
2021/07/27,25.4
2021/07/28,20.6
2021/07/29,25.8
2021/07/30,30.6
2021/07/31,14.6
2021/08/01,11.7
2021/08/02,20.3
2021/08/03,23.6
2021/08/04,24.3
2021/08/05,13.5
2021/08/06,14.6
2021/08/07,12.9
2021/08/08,11.8
2021/08/09,16.7
2021/08/10,25.0
2021/08/11,27.3
2021/08/12,21.7
2021/08/13,21.2
2021/08/14,19.1
2021/08/15,14.3
2021/08/16,14.7
2021/08/17,16.8
2021/08/18,13.6
2021/08/19,17.6
2021/08/20,21.4
2021/08/21,20.2
2021/08/22,13.9
2021/08/23,14.7
2021/08/24,19.1
2021/08/25,21.6
2021/08/26,20.8
2021/08/27,15.7
2021/08/28,14.7
2021/08/29,17.2
2021/08/30,21.1
2021/08/31,21.2
2021/09/01,32.0
2021/09/02,26.9
2021/09/03,28.1
2021/09/04,29.4
2021/09/05,22.7
2021/09/06,28.3
2021/09/07,36.0
2021/09/08,32.5
2021/09/09,36.3
2021/09/10,42.9
2021/09/11,39.0
2021/09/12,30.3
2021/09/13,43.8
2021/09/14,39.0
2021/09/15,30.8
2021/09/16,36.8
2021/09/17,31.3
