Data/Ora, Biossido di Azoto - µg/m³
2021/06/05,36.8
2021/06/06,17.9
2021/06/07,51.3
2021/06/08,57.0
2021/06/09,49.2
2021/06/10,48.8
2021/06/11,54.0
2021/06/12,44.0
2021/06/13,42.3
2021/06/14,38.5
2021/06/15,34.6
2021/06/16,46.5
2021/06/17,51.6
2021/06/18,54.9
2021/06/19,40.1
2021/06/20,38.2
2021/06/21,44.3
2021/06/22,29.9
2021/06/23,39.5
2021/06/24,53.2
2021/06/25,41.2
2021/06/26,36.5
2021/06/27,45.7
2021/06/28,60.0
2021/06/29,48.8
2021/06/30,40.4
2021/07/01,37.5
2021/07/02,36.4
2021/07/03,34.1
2021/07/04,26.5
2021/07/05,41.4
2021/07/06,61.4
2021/07/07,40.4
2021/07/08,49.6
2021/07/09,51.3
2021/07/10,58.1
2021/07/11,33.7
2021/07/12,45.7
2021/07/13,30.2
2021/07/14,49.9
2021/07/15,43.6
2021/07/16,42.7
2021/07/17,30.1
2021/07/18,51.1
2021/07/19,52.7
2021/07/20,56.7
2021/07/21,47.5
2021/07/22,42.7
2021/07/23,33.9
2021/07/24,26.6
2021/07/25,24.1
2021/07/26,45.7
2021/07/27,40.7
2021/07/28,32.0
2021/07/29,44.0
2021/07/30,64.4
2021/07/31,34.5
2021/08/01,25.2
2021/08/02,36.0
2021/08/03,43.3
2021/08/04,41.8
2021/08/05,26.3
2021/08/06,32.3
2021/08/07,22.3
2021/08/08,22.6
2021/08/09,37.2
2021/08/10,41.0
2021/08/11,44.6
2021/08/12,44.9
2021/08/13,37.0
2021/08/14,36.2
2021/08/15,34.8
2021/08/16,39.3
2021/08/17,34.9
2021/08/18,27.0
2021/08/19,35.8
2021/08/20,45.0
2021/08/21,46.6
2021/08/22,28.0
2021/08/23,37.7
2021/08/24,36.1
2021/08/25,41.2
2021/08/26,42.9
2021/08/27,28.8
2021/08/28,27.9
2021/08/29,46.6
2021/08/30,42.9
2021/08/31,42.0
2021/09/01,60.1
2021/09/02,57.8
2021/09/03,78.6
2021/09/04,62.6
2021/09/05,46.6
2021/09/06,57.8
2021/09/07,74.4
2021/09/08,60.5
2021/09/09,65.0
2021/09/10,69.4
2021/09/11,79.9
2021/09/12,84.7
2021/09/13,78.0
2021/09/14,75.9
2021/09/15,72.1
2021/09/16,59.6
2021/09/17,48.6
2021/09/18,42.9
2021/09/19,34.8
2021/09/20,65.7
2021/09/21,59.8
2021/09/22,58.0
2021/09/23,86.5
2021/09/24,96.6
2021/09/25,90.5
2021/09/26,54.7
2021/09/27,52.9
2021/09/28,81.7
2021/09/29,63.9
2021/09/30,67.8
2021/10/01,70.5
2021/10/02,63.4
2021/10/03,43.7
2021/10/04,60.5
2021/10/05,45.3
2021/10/06,54.2
2021/10/07,60.1
2021/10/08,58.6
2021/10/09,61.4
2021/10/10,64.1
2021/10/11,93.6
2021/10/12,76.5
2021/10/13,78.8
2021/10/14,80.2
2021/10/15,87.6
2021/10/16,91.9
2021/10/17,98.4
2021/10/18,102.9
2021/10/19,101.0
2021/10/20,77.3
2021/10/21,70.8
2021/10/22,78.4
2021/10/23,61.1
2021/10/24,66.7
2021/10/25,78.6
2021/10/26,91.7
2021/10/27,95.9
2021/10/28,101.0
2021/10/29,91.2
2021/10/30,77.2
2021/10/31,45.6
2021/11/01,49.0
2021/11/02,56.1
2021/11/03,55.6
2021/11/04,74.8
2021/11/05,85.4
2021/11/06,77.7
2021/11/07,71.2
2021/11/08,66.3
2021/11/09,66.9
2021/11/10,58.3
2021/11/11,55.3
2021/11/12,63.1
2021/11/13,51.5
2021/11/14,51.0
2021/11/15,64.3
2021/11/16,59.7
2021/11/17,54.1
2021/11/18,45.6
2021/11/19,40.7
2021/11/20,44.1
2021/11/21,43.5
2021/11/22,52.9
2021/11/23,67.2
2021/11/24,67.2
2021/11/25,61.3
2021/11/26,65.3
2021/11/27,53.0
2021/11/28,75.8
2021/11/29,71.7
2021/11/30,82.0
2021/12/01,74.8
2021/12/02,70.8
2021/12/03,93.6
2021/12/04,78.0
2021/12/05,77.4
2021/12/06,70.8
2021/12/07,77.0
2021/12/08,67.8
2021/12/09,60.3
2021/12/10,84.6
2021/12/11,91.1
2021/12/12,76.9
2021/12/13,102.7
2021/12/14,90.9
2021/12/15,88.4
2021/12/16,87.4
2021/12/17,74.3
2021/12/18,72.8
2021/12/19,71.9
2021/12/20,63.0
2021/12/21,72.2
2021/12/22,76.0
2021/12/23,54.3
2021/12/24,49.5
2021/12/25,53.7
2021/12/26,57.2
2021/12/27,63.2
2021/12/28,54.3
2021/12/29,48.5
2021/12/30,57.1
2021/12/31,60.5
2022/01/01,64.4
2022/01/02,68.6
2022/01/03,53.2
2022/01/04,54.4
2022/01/05,45.5
2022/01/06,72.1
2022/01/07,67.2
2022/01/08,62.7
2022/01/09,60.9
2022/01/10,73.8
2022/01/11,114.5
2022/01/12,100.1
2022/01/13,120.7
2022/01/14,95.6
2022/01/15,106.8
2022/01/16,91.5
2022/01/17,77.0
2022/01/18,98.1
2022/01/19,87.5
2022/01/20,87.2
2022/01/21,81.7
2022/01/22,77.6
2022/01/23,64.2
2022/01/24,78.6
2022/01/25,60.6
2022/01/26,64.8
2022/01/27,73.1
2022/01/28,94.6
2022/01/29,88.6
2022/01/30,77.4
2022/01/31,82.4
2022/02/01,60.3
2022/02/02,85.0
2022/02/03,81.9
2022/02/04,58.4
2022/02/05,62.7
2022/02/06,59.1
2022/02/07,58.9
2022/02/08,118.5
2022/02/09,106.4
2022/02/10,91.7
2022/02/11,86.5
2022/02/12,92.2
2022/02/13,87.0
2022/02/14,80.9
2022/02/15,64.8
2022/02/16,69.5
2022/02/17,77.5
2022/02/18,66.4
2022/02/19,60.2
2022/02/20,80.5
2022/02/21,65.9
2022/02/22,82.9
2022/02/23,85.9
2022/02/24,80.4
2022/02/25,81.8
2022/02/26,63.4
2022/02/27,83.2
2022/02/28,90.0
2022/03/01,83.9
2022/03/02,92.6
2022/03/03,90.7
2022/03/04,80.0
2022/03/05,57.3
2022/03/06,59.0
2022/03/07,93.1
2022/03/08,96.7
2022/03/09,111.6
2022/03/10,122.0
2022/03/11,111.6
2022/03/12,45.7
2022/03/13,52.7
2022/03/14,61.7
2022/03/15,71.6
2022/03/16,64.4
2022/03/17,71.4
2022/03/18,72.3
2022/03/19,61.5
2022/03/20,52.0
2022/03/21,98.1
2022/03/22,115.8
2022/03/23,119.1
2022/03/24,120.8
2022/03/25,101.2
2022/03/26,121.0
2022/03/27,119.3
2022/03/28,113.0
2022/03/29,99.6
2022/03/30,53.9
2022/03/31,50.7
2022/04/01,52.2
2022/04/02,46.2
2022/04/03,56.1
2022/04/04,82.2
2022/04/05,87.9
2022/04/06,72.5
2022/04/07,63.1
2022/04/08,75.4
2022/04/09,51.2
2022/04/10,53.1
2022/04/11,84.0
2022/04/12,93.1
2022/04/13,82.8
2022/04/14,95.4
2022/04/15,94.9
2022/04/16,68.9
2022/04/17,20.3
2022/04/18,34.2
2022/04/19,69.2
2022/04/20,38.8
2022/04/21,51.2
2022/04/22,41.2
2022/04/23,34.5
2022/04/24,49.2
2022/04/25,34.8
2022/04/26,69.5
2022/04/27,59.9
2022/04/28,54.5
2022/04/29,63.5
2022/04/30,60.3
2022/05/01,52.3
2022/05/02,61.8
2022/05/03,55.7
2022/05/04,61.2
2022/05/05,49.9
2022/05/06,52.8
2022/05/07,37.5
2022/05/08,37.9
2022/05/09,81.6
2022/05/10,74.4
2022/05/11,66.3
2022/05/12,33.6
2022/05/13,33.6
2022/05/14,30.8
2022/05/15,39.3
2022/05/16,38.5
2022/05/17,48.9
2022/05/18,53.2
2022/05/19,38.0
2022/05/20,51.6
2022/05/21,23.6
2022/05/22,20.6
2022/05/23,31.6
2022/05/24,54.2
2022/05/25,39.3
2022/05/26,44.9
2022/05/27,48.9
2022/05/28,54.2
2022/05/29,20.0
2022/05/30,32.5
2022/05/31,44.5
2022/06/01,50.5
2022/06/02,46.5
2022/06/03,47.7
2022/06/04,56.6
2022/06/05,59.7
2022/06/06,45.5
2022/06/07,36.4
2022/06/08,45.7
2022/06/09,36.5
2022/06/10,74.7
2022/06/11,83.4
2022/06/12,56.5
2022/06/13,63.0
2022/06/14,45.4
2022/06/15,42.6
2022/06/16,52.4
2022/06/17,50.9
2022/06/18,31.9
2022/06/19,30.3
2022/06/20,42.4
2022/06/21,25.1
2022/06/22,46.4
2022/06/23,38.6
2022/06/24,34.8
2022/06/25,23.4
2022/06/26,32.5
2022/06/27,36.5
2022/06/28,51.1
2022/06/29,31.5
2022/06/30,28.0
2022/07/01,41.5
2022/07/02,40.1
2022/07/03,47.7
2022/07/04,50.4
2022/07/05,37.6
2022/07/06,35.5
2022/07/07,34.7
2022/07/08,34.4
2022/07/09,38.9
2022/07/10,25.9
2022/07/11,44.0
2022/07/12,30.3
2022/07/13,37.4
2022/07/14,53.2
2022/07/15,40.0
2022/07/16,31.9
2022/07/17,35.1
2022/07/18,34.7
2022/07/19,56.1
2022/07/20,67.7
2022/07/21,60.6
2022/07/22,67.7
2022/07/23,36.5
2022/07/24,29.8
2022/07/25,58.5
2022/07/26,43.0
2022/07/27,42.8
2022/07/28,53.9
2022/07/29,41.6
2022/07/30,26.8
2022/07/31,67.3
2022/08/01,71.9
2022/08/02,43.3
2022/08/03,60.8
2022/08/04,72.0
2022/08/05,62.7
2022/08/06,37.8
2022/08/07,17.0
2022/08/08,33.4
2022/08/09,31.5
2022/08/10,28.4
2022/08/11,36.0
2022/08/12,31.5
2022/08/13,31.7
2022/08/14,34.9
2022/08/15,21.3
2022/08/16,31.4
2022/08/17,27.0
2022/08/18,22.6
2022/08/19,30.6
2022/08/20,31.5
2022/08/21,54.3
2022/08/22,51.7
2022/08/23,53.9
2022/08/24,43.9
2022/08/25,55.7
2022/08/26,56.3
2022/08/27,31.6
2022/08/28,23.7
2022/08/29,50.8
2022/08/30,37.4
2022/08/31,35.9
2022/09/01,42.3
2022/09/02,41.1
2022/09/03,38.4
2022/09/04,51.6
2022/09/05,65.4
2022/09/06,60.3
2022/09/07,48.7
2022/09/08,38.5
2022/09/09,40.1
2022/09/10,47.0
2022/09/11,72.0
2022/09/12,66.2
2022/09/13,68.1
2022/09/14,51.9
2022/09/15,46.4
2022/09/16,54.6
2022/09/17,24.7
2022/09/18,35.8
2022/09/19,59.2
2022/09/20,56.7
2022/09/21,45.0
2022/09/22,55.3
2022/09/23,59.2
2022/09/24,44.3
2022/09/25,49.3
2022/09/26,48.8
2022/09/27,61.6
2022/09/28,64.6
2022/09/29,47.1
2022/09/30,43.3
2022/10/01,41.2
2022/10/02,37.0
2022/10/03,64.5
2022/10/04,62.0
2022/10/05,83.2
2022/10/06,81.2
2022/10/07,102.5
2022/10/08,98.9
2022/10/09,39.3
2022/10/10,53.1
2022/10/11,76.8
2022/10/12,76.4
2022/10/13,80.6
2022/10/14,71.3
2022/10/15,77.6
2022/10/16,73.3
2022/10/17,82.0
2022/10/18,84.1
2022/10/19,100.0
2022/10/20,85.3
2022/10/21,75.2
2022/10/22,60.5
2022/10/23,44.2
2022/10/24,49.5
2022/10/25,57.7
2022/10/26,67.7
2022/10/27,76.0
2022/10/28,71.0
2022/10/29,65.4
2022/10/30,73.1
2022/10/31,85.9
2022/11/01,78.4
2022/11/02,38.0
2022/11/03,39.5
2022/11/04,69.4
2022/11/05,64.5
2022/11/06,57.5
2022/11/07,73.0
2022/11/08,67.2
2022/11/09,59.0
2022/11/10,57.3
2022/11/11,44.4
2022/11/12,44.1
2022/11/13,64.0
2022/11/14,54.7
2022/11/15,45.0
2022/11/16,40.4
2022/11/17,52.0
2022/11/18,62.7
2022/11/19,55.4
2022/11/20,64.5
2022/11/21,73.2
2022/11/22,51.6
2022/11/23,72.3
2022/11/24,81.3
2022/11/25,64.4
2022/11/26,78.6
2022/11/27,67.8
2022/11/28,59.9
2022/11/29,56.6
2022/11/30,63.5
2022/12/01,55.5
2022/12/02,56.9
2022/12/03,48.7
2022/12/04,42.4
2022/12/05,45.3
2022/12/06,68.6
2022/12/07,62.1
2022/12/08,48.9
2022/12/09,52.4
2022/12/10,44.3
2022/12/11,46.0
2022/12/12,55.2
2022/12/13,51.0
2022/12/14,56.0
2022/12/15,65.3
2022/12/16,54.5
2022/12/17,48.3
2022/12/18,40.9
2022/12/19,43.6
2022/12/20,49.2
2022/12/21,57.4
2022/12/22,53.6
2022/12/23,58.0
2022/12/24,52.0
2022/12/25,40.8
2022/12/26,37.2
2022/12/27,51.5
2022/12/28,47.6
2022/12/29,49.0
2022/12/30,42.4
2022/12/31,44.2
2023/01/01,34.3
2023/01/02,41.4
2023/01/03,36.8
2023/01/04,39.5
2023/01/05,52.9
2023/01/06,40.9
2023/01/07,45.3
2023/01/08,39.0
2023/01/09,52.7
2023/01/10,86.9
2023/01/11,83.0
2023/01/12,83.4
2023/01/13,84.0
2023/01/14,71.6
2023/01/15,63.3
2023/01/16,58.2
2023/01/17,54.6
2023/01/18,58.3
2023/01/19,61.0
2023/01/20,74.5
2023/01/21,76.9
2023/01/22,70.2
2023/01/23,85.4
2023/01/24,72.9
2023/01/25,70.9
2023/01/26,68.4
2023/01/27,63.2
2023/01/28,76.8
2023/01/29,71.2
2023/01/30,77.7
2023/01/31,85.7
2023/02/01,91.1
2023/02/02,76.5
2023/02/03,87.0
2023/02/04,53.8
2023/02/05,36.3
2023/02/06,52.0
2023/02/07,69.8
2023/02/08,84.0
2023/02/09,62.5
2023/02/10,100.2
2023/02/11,100.5
2023/02/12,78.9
2023/02/13,97.4
2023/02/14,116.0
2023/02/15,129.7
2023/02/16,117.5
2023/02/17,72.4
2023/02/18,57.6
2023/02/19,66.2
2023/02/20,65.5
2023/02/21,77.2
2023/02/22,68.4
2023/02/23,60.0
2023/02/24,59.2
2023/02/25,51.8
2023/02/26,57.0
2023/02/27,63.0
2023/02/28,65.7
2023/03/01,66.7
2023/03/02,61.1
2023/03/03,88.4
2023/03/04,87.2
2023/03/05,76.1
2023/03/06,75.8
2023/03/07,81.2
2023/03/08,75.8
2023/03/09,86.6
2023/03/10,86.5
2023/03/11,60.4
2023/03/12,43.6
2023/03/13,69.5
2023/03/14,45.5
2023/03/15,57.7
2023/03/16,76.7
2023/03/17,88.1
2023/03/18,90.2
2023/03/19,82.1
2023/03/20,76.2
2023/03/21,96.6
2023/03/22,88.4
2023/03/23,45.8
2023/03/24,45.3
2023/03/25,66.2
2023/03/26,73.4
2023/03/27,68.1
2023/03/28,71.5
2023/03/29,86.8
2023/03/30,68.9
2023/03/31,68.8
2023/04/01,76.1
2023/04/02,59.2
2023/04/03,68.2
2023/04/04,38.7
2023/04/05,64.9
2023/04/06,83.7
2023/04/07,90.1
2023/04/08,53.9
2023/04/09,33.1
2023/04/10,47.8
2023/04/11,73.8
2023/04/12,52.5
2023/04/13,38.3
2023/04/14,58.7
2023/04/15,51.9
2023/04/16,41.1
2023/04/17,70.4
2023/04/18,66.4
2023/04/19,71.1
2023/04/20,33.6
2023/04/21,53.8
2023/04/22,54.4
2023/04/23,65.2
2023/04/24,40.9
2023/04/25,26.8
2023/04/26,57.6
2023/04/27,60.7
2023/04/28,57.7
2023/04/29,32.8
2023/04/30,25.7
2023/05/01,24.5
2023/05/02,46.8
2023/05/03,44.7
2023/05/04,57.3
2023/05/05,60.8
2023/05/06,56.8
2023/05/07,37.2
2023/05/08,50.3
2023/05/09,33.9
2023/05/10,35.7
2023/05/11,34.0
2023/05/12,38.6
2023/05/13,33.0
2023/05/14,26.1
2023/05/15,51.8
2023/05/16,46.6
2023/05/17,48.4
2023/05/18,42.6
2023/05/19,36.7
2023/05/20,40.6
2023/05/21,46.0
2023/05/22,53.9
2023/05/23,51.5
2023/05/24,53.0
2023/05/25,41.7
2023/05/26,70.4
2023/05/27,81.5
2023/05/28,28.2
2023/05/29,43.8
2023/05/30,47.5
2023/05/31,44.5
2023/06/01,52.7
2023/06/02,39.7
2023/06/03,35.0
2023/06/04,29.8
2023/06/05,39.1
2023/06/06,36.9
2023/06/07,46.7
2023/06/08,40.3
2023/06/09,37.5
2023/06/10,25.3
2023/06/11,33.4
2023/06/12,34.5
2023/06/13,33.2
2023/06/14,45.1
2023/06/15,41.3
2023/06/16,45.6
2023/06/17,36.4
2023/06/18,33.2
2023/06/19,28.7
2023/06/20,55.9
2023/06/21,47.3
2023/06/22,60.8
2023/06/23,49.8
2023/06/24,38.5
2023/06/25,31.6
2023/06/26,54.3
2023/06/27,52.8
2023/06/28,29.4
2023/06/29,36.7
2023/06/30,35.6
2023/07/01,34.0
2023/07/02,39.6
2023/07/03,34.0
2023/07/04,27.6
2023/07/05,40.3
2023/07/06,38.1
2023/07/07,39.7
2023/07/08,40.6
2023/07/09,43.8
2023/07/10,49.9
2023/07/11,47.0
2023/07/12,37.2
2023/07/13,32.6
2023/07/14,40.3
2023/07/15,38.5
2023/07/16,33.3
2023/07/17,20.1
2023/07/18,34.2
2023/07/19,25.4
2023/07/20,33.3
2023/07/21,36.2
2023/07/22,25.7
2023/07/23,22.7
2023/07/24,40.2
2023/07/25,34.6
2023/07/26,34.2
2023/07/27,37.4
2023/07/28,48.5
2023/07/29,25.8
2023/07/30,40.2
2023/07/31,41.5
2023/08/01,32.4
2023/08/02,23.8
2023/08/03,26.0
2023/08/04,34.2
2023/08/05,20.3
2023/08/06,24.9
2023/08/07,32.2
2023/08/08,40.6
2023/08/09,48.8
2023/08/10,38.9
2023/08/11,37.1
2023/08/12,33.3
2023/08/13,32.3
2023/08/14,27.8
2023/08/15,32.9
2023/08/16,25.8
2023/08/17,21.7
2023/08/18,31.0
2023/08/19,32.3
2023/08/20,30.9
2023/08/21,41.1
2023/08/22,43.6
2023/08/23,47.6
2023/08/24,43.4
2023/08/25,39.7
2023/08/26,26.0
2023/08/27,29.9
2023/08/28,25.6
2023/08/29,32.7
2023/08/30,40.5
2023/08/31,38.9
2023/09/01,42.3
2023/09/02,53.7
2023/09/03,63.7
2023/09/04,56.7
2023/09/05,37.2
2023/09/06,71.5
2023/09/07,66.5
2023/09/08,79.6
2023/09/09,62.3
2023/09/10,84.0
2023/09/11,64.5
2023/09/12,70.1
2023/09/13,56.9
2023/09/14,36.0
2023/09/15,60.8
2023/09/16,35.9
2023/09/17,25.9
2023/09/18,40.3
2023/09/19,63.5
2023/09/20,52.0
2023/09/21,36.6
2023/09/22,40.6
2023/09/23,35.7
2023/09/24,66.0
2023/09/25,61.9
2023/09/26,82.6
2023/09/27,87.6
2023/09/28,88.3
2023/09/29,104.6
2023/09/30,113.2
2023/10/01,84.3
2023/10/02,104.0
2023/10/03,84.5
2023/10/04,47.9
