Data/Ora, Ozono - µg/m³
2021/06/05,109.1
2021/06/06,119.9
2021/06/07,91.1
2021/06/08,86.6
2021/06/09,146.1
2021/06/10,143.8
2021/06/11,144.2
2021/06/12,141.0
2021/06/13,111.2
2021/06/14,146.2
2021/06/15,143.4
2021/06/16,150.2
2021/06/17,178.7
2021/06/18,140.1
2021/06/19,111.4
2021/06/20,102.7
2021/06/21,101.6
2021/06/22,104.2
2021/06/23,99.4
2021/06/24,110.8
2021/06/25,110.8
2021/06/26,134.1
2021/06/27,145.2
2021/06/28,153.9
2021/06/29,119.5
2021/06/30,112.6
2021/07/01,110.3
2021/07/02,146.3
2021/07/03,147.0
2021/07/04,84.4
2021/07/05,114.2
2021/07/06,136.8
2021/07/07,111.7
2021/07/08,105.9
2021/07/09,96.8
2021/07/10,132.2
2021/07/11,120.1
2021/07/12,144.7
2021/07/13,112.4
2021/07/14,92.5
2021/07/15,92.9
2021/07/16,117.5
2021/07/17,101.2
2021/07/18,139.1
2021/07/19,127.6
2021/07/20,144.7
2021/07/21,153.9
2021/07/22,144.7
2021/07/23,151.3
2021/07/24,137.6
2021/07/25,117.1
2021/07/26,106.9
2021/07/27,102.5
2021/07/28,117.3
2021/07/29,121.3
2021/07/30,116.3
2021/07/31,109.9
2021/08/01,100.8
2021/08/02,112.7
2021/08/03,104.9
2021/08/04,70.2
2021/08/05,83.6
2021/08/06,113.1
2021/08/07,111.9
2021/08/08,102.8
2021/08/09,133.9
2021/08/10,153.2
2021/08/11,197.8
2021/08/12,187.9
2021/08/13,184.2
2021/08/14,179.5
2021/08/15,163.0
2021/08/16,132.9
2021/08/17,111.1
2021/08/18,108.2
2021/08/19,133.2
2021/08/20,132.8
2021/08/21,140.3
2021/08/22,121.2
2021/08/23,114.5
2021/08/24,111.5
2021/08/25,111.5
2021/08/26,124.7
2021/08/27,96.6
2021/08/28,108.5
2021/08/29,105.7
2021/08/30,112.9
2021/08/31,127.8
2021/09/01,130.0
2021/09/02,124.4
2021/09/03,140.7
2021/09/04,131.3
2021/09/05,138.7
2021/09/06,130.0
2021/09/07,138.3
2021/09/08,126.0
2021/09/09,145.2
2021/09/10,137.8
2021/09/11,143.7
2021/09/12,165.6
2021/09/13,151.4
2021/09/14,105.1
2021/09/15,86.3
2021/09/16,84.9
2021/09/17,92.5
2021/09/18,102.1
2021/09/19,84.4
2021/09/20,77.9
2021/09/21,84.2
2021/09/22,92.6
2021/09/23,98.8
2021/09/24,121.4
2021/09/25,96.3
2021/09/26,55.2
2021/09/27,71.1
2021/09/28,101.9
2021/09/29,95.7
2021/09/30,89.7
2021/10/01,79.8
2021/10/02,98.3
2021/10/03,56.4
2021/10/04,60.5
2021/10/05,62.3
2021/10/06,70.3
2021/10/07,56.9
2021/10/08,60.7
2021/10/09,74.4
2021/10/10,87.8
2021/10/11,84.0
2021/10/12,65.6
2021/10/13,72.1
2021/10/14,70.3
2021/10/15,63.3
2021/10/16,73.5
2021/10/17,75.2
2021/10/18,66.2
2021/10/19,63.4
2021/10/20,25.0
2021/10/21,40.1
2021/10/22,42.1
2021/10/23,41.7
2021/10/24,57.8
2021/10/25,52.3
2021/10/26,43.2
2021/10/27,47.9
2021/10/28,44.9
2021/10/29,35.3
2021/10/30,28.7
2021/10/31,23.1
2021/11/01,22.1
2021/11/02,14.2
2021/11/03,14.7
2021/11/04,49.3
2021/11/05,30.0
2021/11/06,44.2
2021/11/07,48.3
2021/11/08,19.8
2021/11/09,29.6
2021/11/10,22.9
2021/11/11,10.0
2021/11/12,17.4
2021/11/13,11.2
2021/11/14,39.5
2021/11/15,33.2
2021/11/16,37.9
2021/11/17,21.6
2021/11/18,17.9
2021/11/19,19.6
2021/11/20,16.2
2021/11/21,4.7
2021/11/22,13.6
2021/11/23,36.3
2021/11/24,29.9
2021/11/25,7.6
2021/11/26,32.6
2021/11/27,27.9
2021/11/28,60.6
2021/11/29,47.6
2021/11/30,50.1
2021/12/01,18.8
2021/12/02,24.3
2021/12/03,31.7
2021/12/04,4.7
2021/12/05,16.9
2021/12/06,9.3
2021/12/07,22.7
2021/12/08,17.5
2021/12/09,20.0
2021/12/10,5.8
2021/12/11,26.1
2021/12/12,20.7
2021/12/13,10.4
2021/12/14,9.6
2021/12/15,9.5
2021/12/16,3.8
2021/12/17,11.0
2021/12/18,4.4
2021/12/19,14.2
2021/12/20,18.4
2021/12/21,2.3
2021/12/22,17.3
2021/12/23,5.8
2021/12/24,3.4
2021/12/25,5.3
2021/12/26,6.9
2021/12/27,2.8
2021/12/28,4.4
2021/12/29,9.5
2021/12/30,3.2
2021/12/31,4.0
2022/01/01,5.8
2022/01/02,17.2
2022/01/03,5.0
2022/01/04,5.2
2022/01/05,45.2
2022/01/06,48.5
2022/01/07,40.2
2022/01/08,19.5
2022/01/09,22.8
2022/01/10,8.5
2022/01/11,19.2
2022/01/12,17.9
2022/01/13,10.0
2022/01/14,24.6
2022/01/15,20.9
2022/01/16,34.8
2022/01/17,24.8
2022/01/18,38.2
2022/01/19,37.1
2022/01/20,34.2
2022/01/21,24.2
2022/01/22,28.8
2022/01/23,34.3
2022/01/24,7.5
2022/01/25,26.9
2022/01/26,14.7
2022/01/27,8.4
2022/01/28,56.1
2022/01/29,37.9
2022/01/30,62.4
2022/01/31,68.1
2022/02/01,71.3
2022/02/02,65.9
