Data/Ora, PM10 - µg/m³
2021/06/05,18
2021/06/06,16
2021/06/07,21
2021/06/08,21
2021/06/09,23
2021/06/10,23
2021/06/11,28
2021/06/12,22
2021/06/13,16
2021/06/14,26
2021/06/15,22
2021/06/16,38
2021/06/17,39
2021/06/18,24
2021/06/19,20
2021/06/20,29
2021/06/21,49
2021/06/22,25
2021/06/23,19
2021/06/24,19
2021/06/25,14
2021/06/26,17
2021/06/27,22
2021/06/28,26
2021/06/29,24
2021/06/30,22
2021/07/01,21
2021/07/02,20
2021/07/03,25
2021/07/04,19
2021/07/05,12
2021/07/06,16
2021/07/07,23
2021/07/08,16
2021/07/09,10
2021/07/10,14
2021/07/11,11
2021/07/12,23
2021/07/13,20
2021/07/14,16
2021/07/15,17
2021/07/16,17
2021/07/17,15
2021/07/18,19
2021/07/19,21
2021/07/20,25
2021/07/21,27
2021/07/22,30
2021/07/23,24
2021/07/24,29
2021/07/25,21
2021/07/26,16
2021/07/27,24
2021/07/28,25
2021/07/29,23
2021/07/30,27
2021/07/31,19
2021/08/01,10
2021/08/02,14
2021/08/03,16
2021/08/04,20
2021/08/05,10
2021/08/06,17
2021/08/07,18
2021/08/08,15
2021/08/09,17
2021/08/10,24
2021/08/11,29
2021/08/12,28
2021/08/13,30
2021/08/14,27
2021/08/15,37
2021/08/16,46
2021/08/17,11
2021/08/18,13
2021/08/19,15
2021/08/20,19
2021/08/21,20
2021/08/22,20
2021/08/23,17
2021/08/24,15
2021/08/25,14
2021/08/26,18
2021/08/27,15
2021/08/28,11
2021/08/29,11
2021/08/30,17
2021/08/31,16
2021/09/01,20
2021/09/02,20
2021/09/03,21
2021/09/04,25
2021/09/05,21
2021/09/06,20
2021/09/07,30
2021/09/08,30
2021/09/09,32
2021/09/10,38
2021/09/11,34
2021/09/12,31
2021/09/13,35
2021/09/14,32
2021/09/15,22
2021/09/16,26
2021/09/17,25
2021/09/18,27
2021/09/19,13
2021/09/20,11
2021/09/21,13
2021/09/22,26
2021/09/23,25
2021/09/24,38
2021/09/25,48
2021/09/26,34
2021/09/27,29
2021/09/28,40
2021/09/29,21
2021/09/30,22
2021/10/01,19
2021/10/02,28
2021/10/03,20
2021/10/04,19
2021/10/05,14
2021/10/06,10
2021/10/07,19
2021/10/08,22
2021/10/09,23
2021/10/10,30
2021/10/11,40
2021/10/12,38
2021/10/13,43
2021/10/14,26
2021/10/15,41
2021/10/16,57
2021/10/17,47
2021/10/18,54
2021/10/19,78
2021/10/20,76
2021/10/21,34
2021/10/22,42
2021/10/23,52
2021/10/24,27
2021/10/25,30
2021/10/26,50
2021/10/27,52
2021/10/28,56
2021/10/29,64
2021/10/30,58
2021/10/31,29
2021/11/01,26
2021/11/02,24
2021/11/03,16
2021/11/04,11
2021/11/05,25
2021/11/06,25
2021/11/07,26
2021/11/08,35
2021/11/09,29
2021/11/10,32
2021/11/11,40
2021/11/12,49
2021/11/13,46
2021/11/14,12
2021/11/15,18
2021/11/16,31
2021/11/17,36
2021/11/18,36
2021/11/19,31
2021/11/20,25
2021/11/21,25
2021/11/22,18
2021/11/23,20
2021/11/24,34
2021/11/25,31
2021/11/26,25
2021/11/27,30
2021/11/28,11
2021/11/29,13
2021/11/30,17
2021/12/01,34
2021/12/02,43
2021/12/03,48
2021/12/04,42
2021/12/05,53
2021/12/06,59
2021/12/07,53
2021/12/08,33
2021/12/09,31
2021/12/10,28
2021/12/11,41
2021/12/12,52
2021/12/13,68
2021/12/14,73
2021/12/15,77
2021/12/16,89
2021/12/17,65
2021/12/18,54
2021/12/19,53
2021/12/20,43
2021/12/21,54
2021/12/22,52
2021/12/23,37
2021/12/24,49
2021/12/25,53
2021/12/26,57
2021/12/27,58
2021/12/28,53
2021/12/29,41
2021/12/30,44
2021/12/31,41
2022/01/01,98
2022/01/02,62
2022/01/03,39
2022/01/04,48
2022/01/05,23
2022/01/06,18
2022/01/07,32
2022/01/08,48
2022/01/09,55
2022/01/10,69
2022/01/11,59
2022/01/12,56
2022/01/13,73
2022/01/14,62
2022/01/15,71
2022/01/16,62
2022/01/17,53
2022/01/18,77
2022/01/19,78
2022/01/20,80
2022/01/21,69
2022/01/22,62
2022/01/23,67
2022/01/24,85
2022/01/25,63
2022/01/26,67
2022/01/27,50
2022/01/28,50
2022/01/29,63
2022/01/30,40
2022/01/31,56
2022/02/01,14
2022/02/02,19
2022/02/03,40
2022/02/04,47
2022/02/05,71
2022/02/06,89
2022/02/07,48
2022/02/08,41
2022/02/09,45
2022/02/10,55
2022/02/11,50
2022/02/12,36
2022/02/13,32
2022/02/14,48
2022/02/15,43
2022/02/16,58
2022/02/17,37
2022/02/18,63
2022/02/19,70
2022/02/20,51
2022/02/21,30
2022/02/22,10
2022/02/23,35
2022/02/24,46
2022/02/25,38
2022/02/26,13
2022/02/27,18
2022/02/28,36
2022/03/01,24
2022/03/02,43
2022/03/03,36
2022/03/04,54
2022/03/05,33
2022/03/06,29
2022/03/07,45
2022/03/08,39
2022/03/09,58
2022/03/10,69
2022/03/11,44
2022/03/12,31
2022/03/13,30
2022/03/14,40
2022/03/15,69
2022/03/16,41
2022/03/17,75
2022/03/18,57
2022/03/19,33
2022/03/20,18
2022/03/21,39
2022/03/22,51
2022/03/23,57
2022/03/24,53
2022/03/25,39
2022/03/26,48
2022/03/27,59
2022/03/28,57
2022/03/29,56
2022/03/30,50
2022/03/31,33
2022/04/01,15
2022/04/02,14
2022/04/03,18
2022/04/04,24
2022/04/05,38
2022/04/06,45
2022/04/07,23
2022/04/08,27
2022/04/09,25
2022/04/10,10
2022/04/11,18
2022/04/12,24
2022/04/13,38
2022/04/14,43
2022/04/15,47
2022/04/16,30
2022/04/17,16
2022/04/18,18
2022/04/19,26
2022/04/20,26
2022/04/21,23
2022/04/22,24
2022/04/23,27
2022/04/24,8
2022/04/25,13
2022/04/26,16
2022/04/27,23
2022/04/28,21
2022/04/29,24
2022/04/30,23
2022/05/01,15
2022/05/02,19
2022/05/03,20
2022/05/04,23
2022/05/05,27
2022/05/06,14
2022/05/07,21
2022/05/08,14
2022/05/09,28
2022/05/10,30
2022/05/11,27
2022/05/12,23
2022/05/13,25
2022/05/14,24
2022/05/15,27
2022/05/16,23
2022/05/17,27
2022/05/18,31
2022/05/19,26
2022/05/20,31
2022/05/21,27
2022/05/22,24
2022/05/23,21
2022/05/24,28
2022/05/25,22
2022/05/26,34
2022/05/27,37
2022/05/28,37
2022/05/29,12
2022/05/30,15
2022/05/31,30
2022/06/01,32
2022/06/02,28
2022/06/03,34
2022/06/04,22
2022/06/05,33
2022/06/06,24
2022/06/07,17
2022/06/08,15
2022/06/09,13
2022/06/10,13
2022/06/11,17
2022/06/12,21
2022/06/13,29
2022/06/14,28
2022/06/15,30
2022/06/16,36
2022/06/17,36
2022/06/18,26
2022/06/19,25
2022/06/20,28
2022/06/21,26
2022/06/22,31
2022/06/23,37
2022/06/24,26
2022/06/25,14
2022/06/26,21
2022/06/27,36
2022/06/28,40
2022/06/29,20
2022/06/30,23
2022/07/01,22
2022/07/02,22
2022/07/03,26
2022/07/04,26
2022/07/05,17
2022/07/06,18
2022/07/07,19
2022/07/08,19
2022/07/09,15
2022/07/10,14
2022/07/11,20
2022/07/12,21
2022/07/13,21
2022/07/14,29
2022/07/15,27
2022/07/16,23
2022/07/17,26
2022/07/18,26
2022/07/19,25
2022/07/20,24
2022/07/21,30
2022/07/22,31
2022/07/23,28
2022/07/24,26
2022/07/25,33
2022/07/26,24
2022/07/27,13
2022/07/28,19
2022/07/29,15
2022/07/30,13
2022/07/31,13
2022/08/01,16
2022/08/02,22
2022/08/03,18
2022/08/04,21
2022/08/05,23
2022/08/06,19
2022/08/07,11
2022/08/08,14
2022/08/09,25
2022/08/10,20
2022/08/11,20
2022/08/12,19
2022/08/13,10
2022/08/14,14
2022/08/15,13
2022/08/16,17
2022/08/17,25
2022/08/18,17
2022/08/19,9
2022/08/20,11
2022/08/21,9
2022/08/22,13
2022/08/23,18
2022/08/24,17
2022/08/25,20
2022/08/26,23
2022/08/27,15
2022/08/28,15
2022/08/29,18
2022/08/30,27
2022/08/31,17
2022/09/01,16
2022/09/02,18
2022/09/03,20
2022/09/04,21
2022/09/05,25
2022/09/06,25
2022/09/07,30
2022/09/08,20
2022/09/09,18
2022/09/10,14
2022/09/11,15
2022/09/12,20
2022/09/13,25
2022/09/14,22
2022/09/15,24
2022/09/16,25
2022/09/17,13
2022/09/18,10
2022/09/19,14
2022/09/20,20
2022/09/21,18
2022/09/22,20
2022/09/23,26
2022/09/24,28
2022/09/25,20
2022/09/26,16
2022/09/27,17
2022/09/28,22
2022/09/29,25
2022/09/30,12
2022/10/01,15
2022/10/02,18
2022/10/03,28
2022/10/04,42
2022/10/05,46
2022/10/06,62
2022/10/07,51
2022/10/08,46
2022/10/09,35
2022/10/10,27
2022/10/11,32
2022/10/12,38
2022/10/13,59
2022/10/14,72
2022/10/15,69
2022/10/16,69
2022/10/17,70
2022/10/18,55
2022/10/19,56
2022/10/20,57
2022/10/21,44
2022/10/22,36
2022/10/23,24
2022/10/24,39
2022/10/25,40
2022/10/26,46
2022/10/27,56
2022/10/28,51
2022/10/29,44
2022/10/30,40
2022/10/31,48
2022/11/01,31
2022/11/02,33
2022/11/03,33
2022/11/04,10
2022/11/05,21
2022/11/06,28
2022/11/07,41
2022/11/08,41
2022/11/09,42
2022/11/10,41
2022/11/11,40
2022/11/12,37
2022/11/13,30
2022/11/14,25
2022/11/15,23
2022/11/16,15
2022/11/17,40
2022/11/18,30
2022/11/19,33
2022/11/20,28
2022/11/21,43
2022/11/22,18
2022/11/23,32
2022/11/24,41
2022/11/25,52
2022/11/26,58
2022/11/27,36
2022/11/28,40
2022/11/29,39
2022/11/30,53
2022/12/01,49
2022/12/02,38
2022/12/03,22
2022/12/04,11
2022/12/05,16
2022/12/06,30
2022/12/07,49
2022/12/08,45
2022/12/09,25
2022/12/10,23
2022/12/11,18
2022/12/12,27
2022/12/13,35
2022/12/14,46
2022/12/15,48
2022/12/16,27
2022/12/17,26
2022/12/18,37
2022/12/19,45
2022/12/20,42
2022/12/21,35
2022/12/22,45
2022/12/23,66
2022/12/24,72
2022/12/25,61
2022/12/26,44
2022/12/27,44
2022/12/28,51
2022/12/29,57
2022/12/30,36
2022/12/31,47
2023/01/01,53
2023/01/02,23
2023/01/03,12
2023/01/04,21
2023/01/05,27
2023/01/06,35
2023/01/07,25
2023/01/08,22
2023/01/09,12
2023/01/10,14
2023/01/11,38
2023/01/12,56
2023/01/13,63
2023/01/14,51
2023/01/15,54
2023/01/16,43
2023/01/17,27
2023/01/18,29
2023/01/19,18
2023/01/20,30
2023/01/21,22
2023/01/22,28
2023/01/23,47
2023/01/24,27
2023/01/25,33
2023/01/26,36
2023/01/27,30
2023/01/28,44
2023/01/29,40
2023/01/30,50
2023/01/31,69
2023/02/01,41
2023/02/02,30
2023/02/03,35
2023/02/04,32
2023/02/05,19
2023/02/06,21
2023/02/07,28
2023/02/08,41
2023/02/09,24
2023/02/10,50
2023/02/11,61
2023/02/12,58
2023/02/13,67
2023/02/14,73
2023/02/15,89
2023/02/16,52
2023/02/17,25
2023/02/18,22
2023/02/19,27
2023/02/20,76
2023/02/21,59
2023/02/22,72
2023/02/23,69
2023/02/24,63
2023/02/25,42
2023/02/26,18
2023/02/27,13
2023/02/28,27
2023/03/01,37
2023/03/02,32
2023/03/03,38
2023/03/04,48
2023/03/05,47
2023/03/06,30
2023/03/07,32
2023/03/08,33
2023/03/09,28
2023/03/10,32
2023/03/11,11
2023/03/12,24
2023/03/13,28
2023/03/14,23
2023/03/15,9
2023/03/16,19
2023/03/17,28
2023/03/18,42
2023/03/19,40
2023/03/20,49
2023/03/21,62
2023/03/22,50
2023/03/23,20
2023/03/24,16
2023/03/25,14
2023/03/26,19
2023/03/27,10
2023/03/28,12
2023/03/29,23
2023/03/30,23
2023/03/31,25
2023/04/01,13
2023/04/02,19
2023/04/03,23
2023/04/04,22
2023/04/05,25
2023/04/06,30
2023/04/07,34
2023/04/08,32
2023/04/09,19
2023/04/10,15
2023/04/11,22
2023/04/12,25
2023/04/13,16
2023/04/14,8
2023/04/15,16
2023/04/16,14
2023/04/17,14
2023/04/18,23
2023/04/19,23
2023/04/20,13
2023/04/21,13
2023/04/22,20
2023/04/23,18
2023/04/24,10
2023/04/25,9
2023/04/26,15
2023/04/27,23
2023/04/28,22
2023/04/29,22
2023/04/30,25
2023/05/01,14
2023/05/02,12
2023/05/03,14
2023/05/04,19
2023/05/05,27
2023/05/06,22
2023/05/07,13
2023/05/08,15
2023/05/09,17
2023/05/10,12
2023/05/11,11
2023/05/12,8
2023/05/13,11
2023/05/14,8
2023/05/15,12
2023/05/16,16
2023/05/17,13
2023/05/18,15
2023/05/19,16
2023/05/20,11
2023/05/21,14
2023/05/22,21
2023/05/23,25
2023/05/24,25
2023/05/25,17
2023/05/26,22
2023/05/27,21
2023/05/28,21
2023/05/29,18
2023/05/30,24
2023/05/31,20
2023/06/01,25
2023/06/02,19
2023/06/03,13
2023/06/04,14
2023/06/05,12
2023/06/06,22
2023/06/07,15
2023/06/08,19
2023/06/09,20
2023/06/10,16
2023/06/11,16
2023/06/12,13
2023/06/13,18
2023/06/14,16
2023/06/15,22
2023/06/16,23
2023/06/17,21
2023/06/18,21
2023/06/19,21
2023/06/20,21
2023/06/21,27
2023/06/22,39
2023/06/23,24
2023/06/24,17
2023/06/25,14
2023/06/26,26
2023/06/27,30
2023/06/28,26
2023/06/29,20
2023/06/30,24
2023/07/01,21
2023/07/02,17
2023/07/03,18
2023/07/04,17
2023/07/05,15
2023/07/06,16
2023/07/07,16
2023/07/08,18
2023/07/09,22
2023/07/10,30
2023/07/11,38
2023/07/12,33
2023/07/13,19
2023/07/14,18
2023/07/15,24
2023/07/16,25
2023/07/17,30
2023/07/18,34
2023/07/19,33
2023/07/20,27
2023/07/21,17
2023/07/22,17
2023/07/23,22
2023/07/24,23
2023/07/25,14
2023/07/26,6
2023/07/27,12
2023/07/28,20
2023/07/29,15
2023/07/30,12
2023/07/31,16
2023/08/01,19
2023/08/02,23
2023/08/03,19
2023/08/04,19
2023/08/05,10
2023/08/06,5
2023/08/07,6
2023/08/08,11
2023/08/09,15
2023/08/10,21
2023/08/11,22
2023/08/12,21
2023/08/13,20
2023/08/14,22
2023/08/15,21
2023/08/16,22
2023/08/17,16
2023/08/18,21
2023/08/19,30
2023/08/20,27
2023/08/21,27
2023/08/22,29
2023/08/23,31
2023/08/24,32
2023/08/25,29
2023/08/26,22
2023/08/27,16
2023/08/28,8
2023/08/29,8
2023/08/30,12
2023/08/31,15
2023/09/01,16
2023/09/02,20
2023/09/03,21
2023/09/04,26
2023/09/05,19
2023/09/06,23
2023/09/07,26
2023/09/08,28
2023/09/09,33
2023/09/10,39
2023/09/11,40
2023/09/12,32
2023/09/13,23
2023/09/14,22
2023/09/15,14
2023/09/16,22
2023/09/17,17
2023/09/18,32
2023/09/19,21
2023/09/20,27
2023/09/21,21
2023/09/22,16
2023/09/23,10
2023/09/24,10
2023/09/25,16
2023/09/26,22
2023/09/27,32
2023/09/28,36
2023/09/29,42
2023/09/30,48
2023/10/01,46
2023/10/02,55
2023/10/03,53
2023/10/04,37
2023/10/05,30
2023/10/06,44
2023/10/07,45
2023/10/08,37
2023/10/09,40
2023/10/10,41
2023/10/11,60
2023/10/12,45
2023/10/13,25
2023/10/14,26
2023/10/15,21
2023/10/16,17
2023/10/17,28
2023/10/18,34
2023/10/19,25
2023/10/20,18
2023/10/21,23
2023/10/22,14
2023/10/23,23
2023/10/24,14
2023/10/25,29
2023/10/26,37
2023/10/27,21
2023/10/28,26
2023/10/29,16
2023/10/30,22
2023/10/31,13
2023/11/01,16
2023/11/02,11
2023/11/03,12
2023/11/04,17
2023/11/05,8
2023/11/06,28
2023/11/07,27
2023/11/08,28
2023/11/09,23
2023/11/10,14
2023/11/11,19
2023/11/12,24
2023/11/13,39
2023/11/14,50
2023/11/15,32
2023/11/16,37
2023/11/17,21
2023/11/18,21
2023/11/19,37
2023/11/20,54
2023/11/21,54
2023/11/22,33
2023/11/23,37
2023/11/24,40
2023/11/25,9
2023/11/26,15
2023/11/27,29
2023/11/28,28
2023/11/29,25
2023/11/30,23
2023/12/01,25
2023/12/02,12
2023/12/03,17
2023/12/04,29
2023/12/05,30
2023/12/06,44
2023/12/07,57
2023/12/08,28
2023/12/09,28
2023/12/10,26
2023/12/11,48
2023/12/12,51
2023/12/13,39
2023/12/14,45
2023/12/15,51
2023/12/16,32
2023/12/17,41
2023/12/18,50
2023/12/19,61
2023/12/20,68
2023/12/21,64
2023/12/22,24
2023/12/23,19
2023/12/24,18
2023/12/25,26
2023/12/26,43
2023/12/27,49
2023/12/28,47
2023/12/29,34
2023/12/30,37
2023/12/31,44
2024/01/01,35
2024/01/02,30
2024/01/03,34
2024/01/04,43
2024/01/05,28
2024/01/06,15
2024/01/07,19
2024/01/08,19
2024/01/09,22
2024/01/10,23
2024/01/11,39
2024/01/12,57
2024/01/13,53
2024/01/14,46
2024/01/15,57
2024/01/16,64
2024/01/17,47
2024/01/18,44
2024/01/19,34
2024/01/20,22
2024/01/21,35
2024/01/22,49
2024/01/23,53
2024/01/24,70
2024/01/25,92
2024/01/26,104
2024/01/27,77
2024/01/28,61
2024/01/29,56
2024/01/30,63
2024/01/31,81
2024/02/01,84
2024/02/02,85
2024/02/03,69
2024/02/04,49
2024/02/05,45
2024/02/06,97
2024/02/07,66
2024/02/08,55
2024/02/09,42
2024/02/10,9
2024/02/11,11
2024/02/12,31
2024/02/13,41
2024/02/14,43
2024/02/15,68
2024/02/16,97
2024/02/17,100
2024/02/18,118
2024/02/19,108
2024/02/20,96
2024/02/21,64
2024/02/22,50
2024/02/23,11
2024/02/24,22
2024/02/25,16
2024/02/26,10
2024/02/27,10
2024/02/28,16
2024/02/29,29
2024/03/01,18
2024/03/02,12
2024/03/03,12
2024/03/04,13
2024/03/05,20
2024/03/06,12
2024/03/07,26
2024/03/08,24
2024/03/09,14
2024/03/10,9
2024/03/11,15
2024/03/12,18
2024/03/13,28
2024/03/14,39
2024/03/15,15
2024/03/16,21
2024/03/17,34
2024/03/18,20
2024/03/19,46
2024/03/20,36
2024/03/21,44
2024/03/22,60
2024/03/23,37
2024/03/24,4
2024/03/25,15
2024/03/26,19
2024/03/27,12
2024/03/28,13
2024/03/29,25
2024/03/30,59
2024/03/31,42
2024/04/01,19
2024/04/02,12
2024/04/03,19
2024/04/04,21
2024/04/05,18
2024/04/06,19
2024/04/07,22
2024/04/08,40
2024/04/09,35
2024/04/10,7
2024/04/11,19
2024/04/12,31
2024/04/13,33
2024/04/14,35
2024/04/15,23
2024/04/16,21
2024/04/17,15
2024/04/18,16
2024/04/19,18
2024/04/20,11
2024/04/21,8
2024/04/22,5
2024/04/23,8
2024/04/24,13
2024/04/25,13
2024/04/26,16
2024/04/27,18
2024/04/28,20
2024/04/29,28
2024/04/30,30
2024/05/01,25
2024/05/02,9
2024/05/03,9
2024/05/04,9
2024/05/05,11
2024/05/06,14
2024/05/07,15
2024/05/08,13
2024/05/09,14
2024/05/10,20
2024/05/11,22
2024/05/12,25
2024/05/13,16
2024/05/14,32
2024/05/15,9
2024/05/16,13
2024/05/17,12
2024/05/18,16
2024/05/19,16
2024/05/20,26
2024/05/21,11
2024/05/22,16
2024/05/23,12
2024/05/24,14
2024/05/25,10
2024/05/26,11
2024/05/27,18
2024/05/28,21
2024/05/29,18
2024/05/30,18
2024/05/31,8
2024/06/01,13
2024/06/02,15
2024/06/03,15
2024/06/04,14
2024/06/05,15
