Data/Ora, Particelle sospese PM2.5 - µg/m³
2021/06/05,10
2021/06/06,10
2021/06/07,13
2021/06/08,12
2021/06/09,14
2021/06/10,11
2021/06/11,17
2021/06/12,15
2021/06/13,12
2021/06/14,15
2021/06/15,12
2021/06/16,21
2021/06/17,22
2021/06/18,14
2021/06/19,13
2021/06/20,15
2021/06/21,19
2021/06/22,12
2021/06/23,11
2021/06/24,11
2021/06/25,9
2021/06/26,10
2021/06/27,11
2021/06/28,16
2021/06/29,14
2021/06/30,13
2021/07/01,10
2021/07/02,11
2021/07/03,12
2021/07/04,11
2021/07/05,9
2021/07/06,9
2021/07/07,14
2021/07/08,11
2021/07/09,4
2021/07/10,10
2021/07/11,8
2021/07/12,14
2021/07/13,13
2021/07/14,10
2021/07/15,9
2021/07/16,10
2021/07/17,10
2021/07/18,10
2021/07/19,12
2021/07/20,13
2021/07/21,15
2021/07/22,16
2021/07/23,13
2021/07/24,17
2021/07/25,13
2021/07/26,11
2021/07/27,14
2021/07/28,12
2021/07/29,14
2021/07/30,15
2021/07/31,12
2021/08/01,6
2021/08/02,8
2021/08/03,9
2021/08/04,10
2021/08/05,5
2021/08/06,7
2021/08/07,9
2021/08/08,8
2021/08/09,7
2021/08/10,12
2021/08/11,17
2021/08/12,15
2021/08/13,18
2021/08/14,16
2021/08/15,18
2021/08/16,18
2021/08/17,6
2021/08/18,7
2021/08/19,8
2021/08/20,10
2021/08/21,11
2021/08/22,11
2021/08/23,11
2021/08/24,8
2021/08/25,9
2021/08/26,11
2021/08/27,6
2021/08/28,7
2021/08/29,6
2021/08/30,8
2021/08/31,9
2021/09/01,12
2021/09/02,11
2021/09/03,12
2021/09/04,12
2021/09/05,13
2021/09/06,12
2021/09/07,17
2021/09/08,16
2021/09/09,19
2021/09/10,23
2021/09/11,24
2021/09/12,20
2021/09/13,20
2021/09/14,17
2021/09/15,12
2021/09/16,14
2021/09/17,16
2021/09/18,17
2021/09/19,8
2021/09/20,6
2021/09/21,6
2021/09/22,19
2021/09/23,16
2021/09/24,23
2021/09/25,32
2021/09/26,23
2021/09/27,20
2021/09/28,24
2021/09/29,12
2021/09/30,11
2021/10/01,8
2021/10/02,16
2021/10/03,13
2021/10/04,12
2021/10/05,5
2021/10/06,4
2021/10/07,10
2021/10/08,12
2021/10/09,10
2021/10/10,14
2021/10/11,23
2021/10/12,25
2021/10/13,29
2021/10/14,15
2021/10/15,26
2021/10/16,39
2021/10/17,34
2021/10/18,39
2021/10/19,53
2021/10/20,50
2021/10/21,22
2021/10/22,28
2021/10/23,33
2021/10/24,19
2021/10/25,20
2021/10/26,35
2021/10/27,35
2021/10/28,39
2021/10/29,44
2021/10/30,43
2021/10/31,22
2021/11/01,19
2021/11/02,19
2021/11/03,11
2021/11/04,10
2021/11/05,15
2021/11/06,15
2021/11/07,21
2021/11/08,26
2021/11/09,19
2021/11/10,21
2021/11/11,33
2021/11/12,35
2021/11/13,35
2021/11/14,9
2021/11/15,12
2021/11/16,23
2021/11/17,27
2021/11/18,26
2021/11/19,23
2021/11/20,20
2021/11/21,22
2021/11/22,14
2021/11/23,14
2021/11/24,24
2021/11/25,25
2021/11/26,20
2021/11/27,21
2021/11/28,6
2021/11/29,6
2021/11/30,10
2021/12/01,22
2021/12/02,27
2021/12/03,32
2021/12/04,31
2021/12/05,44
2021/12/06,45
2021/12/07,40
2021/12/08,29
2021/12/09,20
2021/12/10,22
2021/12/11,32
2021/12/12,37
2021/12/13,59
2021/12/14,55
2021/12/15,55
2021/12/16,68
2021/12/17,50
2021/12/18,37
2021/12/19,45
2021/12/20,35
2021/12/21,42
2021/12/22,43
2021/12/23,33
2021/12/24,40
2021/12/25,45
2021/12/26,58
2021/12/27,49
2021/12/28,44
2021/12/29,35
2021/12/30,34
2021/12/31,31
2022/01/01,96
2022/01/02,52
2022/01/03,31
2022/01/04,40
2022/01/05,20
2022/01/06,12
2022/01/07,24
2022/01/08,37
2022/01/09,47
2022/01/10,57
2022/01/11,45
2022/01/12,34
2022/01/13,50
2022/01/14,44
2022/01/15,48
2022/01/16,49
2022/01/17,38
2022/01/18,58
2022/01/19,56
2022/01/20,64
2022/01/21,46
2022/01/22,48
2022/01/23,53
2022/01/24,62
2022/01/25,51
2022/01/26,48
2022/01/27,36
2022/01/28,37
2022/01/29,46
2022/01/30,30
2022/01/31,41
2022/02/01,8
2022/02/02,10
2022/02/03,25
2022/02/04,31
2022/02/05,51
2022/02/06,65
2022/02/07,26
2022/02/08,28
2022/02/09,24
2022/02/10,30
2022/02/11,29
2022/02/12,24
2022/02/13,24
2022/02/14,37
2022/02/15,35
2022/02/16,39
2022/02/17,27
2022/02/18,49
2022/02/19,49
2022/02/20,37
2022/02/21,19
2022/02/22,7
2022/02/23,21
2022/02/24,31
2022/02/25,25
2022/02/26,8
2022/02/27,11
2022/02/28,24
2022/03/01,15
2022/03/02,28
2022/03/03,25
2022/03/04,40
2022/03/05,24
2022/03/06,20
2022/03/07,31
2022/03/08,26
2022/03/09,40
2022/03/10,45
2022/03/11,28
2022/03/12,19
2022/03/13,21
2022/03/14,29
2022/03/15,52
2022/03/16,27
2022/03/17,48
2022/03/18,37
2022/03/19,24
2022/03/20,17
2022/03/21,26
2022/03/22,35
2022/03/23,35
2022/03/24,32
2022/03/25,26
2022/03/26,33
2022/03/27,42
2022/03/28,30
2022/03/29,41
2022/03/30,33
2022/03/31,22
2022/04/01,12
2022/04/02,8
2022/04/03,13
2022/04/04,19
2022/04/05,28
2022/04/06,32
2022/04/07,15
2022/04/08,15
2022/04/09,10
2022/04/10,6
2022/04/11,7
2022/04/12,13
2022/04/13,22
2022/04/14,24
2022/04/15,26
2022/04/16,15
2022/04/17,7
2022/04/18,10
2022/04/19,15
2022/04/20,14
2022/04/21,13
2022/04/22,17
2022/04/23,16
2022/04/24,4
2022/04/25,9
2022/04/26,11
2022/04/27,13
2022/04/28,10
2022/04/29,13
2022/04/30,14
2022/05/01,8
2022/05/02,10
2022/05/03,12
2022/05/04,14
2022/05/05,21
2022/05/06,10
2022/05/07,15
2022/05/08,9
2022/05/09,15
2022/05/10,14
2022/05/11,13
2022/05/12,11
2022/05/13,9
2022/05/14,14
2022/05/15,16
2022/05/16,11
2022/05/17,15
2022/05/18,13
2022/05/19,11
2022/05/20,17
2022/05/21,14
2022/05/22,13
2022/05/23,11
2022/05/24,14
2022/05/25,13
2022/05/26,18
2022/05/27,18
2022/05/28,18
2022/05/29,5
2022/05/30,7
2022/05/31,18
2022/06/01,19
2022/06/02,16
2022/06/03,18
2022/06/04,11
2022/06/05,16
2022/06/06,10
2022/06/07,8
2022/06/08,7
2022/06/09,6
2022/06/10,6
2022/06/11,10
2022/06/12,14
2022/06/13,17
2022/06/14,16
2022/06/15,18
2022/06/16,21
2022/06/17,21
2022/06/18,16
2022/06/19,15
2022/06/20,14
2022/06/21,11
2022/06/22,19
2022/06/23,19
2022/06/24,10
2022/06/25,8
2022/06/26,12
2022/06/27,15
2022/06/28,17
2022/06/29,7
2022/06/30,12
2022/07/01,12
2022/07/02,13
2022/07/03,16
2022/07/04,14
2022/07/05,10
2022/07/06,10
2022/07/07,12
2022/07/08,10
2022/07/09,8
2022/07/10,9
2022/07/11,11
2022/07/12,10
2022/07/13,12
2022/07/14,17
2022/07/15,15
2022/07/16,14
2022/07/17,14
2022/07/18,15
2022/07/19,13
2022/07/20,13
2022/07/21,16
2022/07/22,16
2022/07/23,14
2022/07/24,15
2022/07/25,16
2022/07/26,13
2022/07/27,7
2022/07/28,11
2022/07/29,9
2022/07/30,8
2022/07/31,8
2022/08/01,8
2022/08/02,8
2022/08/03,10
2022/08/04,11
2022/08/05,11
2022/08/06,10
2022/08/07,6
2022/08/08,8
2022/08/09,12
2022/08/10,11
2022/08/11,11
2022/08/12,10
2022/08/13,5
2022/08/14,8
2022/08/15,9
2022/08/16,9
2022/08/17,14
2022/08/18,8
2022/08/19,5
2022/08/20,6
2022/08/21,6
2022/08/22,9
2022/08/23,10
2022/08/24,9
2022/08/25,11
2022/08/26,12
2022/08/27,9
2022/08/28,10
2022/08/29,10
2022/08/30,13
2022/08/31,9
2022/09/01,8
2022/09/02,8
2022/09/03,12
2022/09/04,12
2022/09/05,13
2022/09/06,12
2022/09/07,16
2022/09/08,11
2022/09/09,8
2022/09/10,8
2022/09/11,8
2022/09/12,9
2022/09/13,9
2022/09/14,9
2022/09/15,9
2022/09/16,12
2022/09/17,6
2022/09/18,3
2022/09/19,6
2022/09/20,8
2022/09/21,8
2022/09/22,9
2022/09/23,14
2022/09/24,19
2022/09/25,16
2022/09/26,10
2022/09/27,12
2022/09/28,12
2022/09/29,14
2022/09/30,8
2022/10/01,9
2022/10/02,10
2022/10/03,13
2022/10/04,25
2022/10/05,30
2022/10/06,40
2022/10/07,27
2022/10/08,30
2022/10/09,20
2022/10/10,15
2022/10/11,21
2022/10/12,22
2022/10/13,38
2022/10/14,47
2022/10/15,49
2022/10/16,48
2022/10/17,46
2022/10/18,33
2022/10/19,36
2022/10/20,34
2022/10/21,24
2022/10/22,18
2022/10/23,11
2022/10/24,18
2022/10/25,17
2022/10/26,21
2022/10/27,28
2022/10/28,26
2022/10/29,24
2022/10/30,22
2022/10/31,23
2022/11/01,19
2022/11/02,23
2022/11/03,25
2022/11/04,6
2022/11/05,15
2022/11/06,20
2022/11/07,32
2022/11/08,28
2022/11/09,34
2022/11/10,32
2022/11/11,30
2022/11/12,29
2022/11/13,22
2022/11/14,20
2022/11/15,18
2022/11/16,10
2022/11/17,32
2022/11/18,21
2022/11/19,25
2022/11/20,21
2022/11/21,34
2022/11/22,13
2022/11/23,20
2022/11/24,26
2022/11/25,39
2022/11/26,44
2022/11/27,28
2022/11/28,33
2022/11/29,31
2022/11/30,41
2022/12/01,38
2022/12/02,30
2022/12/03,20
2022/12/04,10
2022/12/05,13
2022/12/06,22
2022/12/07,42
2022/12/08,41
2022/12/09,22
2022/12/10,18
2022/12/11,14
2022/12/12,23
2022/12/13,30
2022/12/14,40
2022/12/15,41
2022/12/16,26
2022/12/17,21
2022/12/18,27
2022/12/19,34
2022/12/20,33
2022/12/21,27
2022/12/22,35
2022/12/23,42
2022/12/24,51
2022/12/25,46
2022/12/26,32
2022/12/27,36
2022/12/28,40
2022/12/29,46
2022/12/30,30
2022/12/31,39
2023/01/01,47
2023/01/02,21
2023/01/03,11
2023/01/04,17
2023/01/05,20
2023/01/06,26
2023/01/07,18
2023/01/08,18
2023/01/09,9
2023/01/10,8
2023/01/11,22
2023/01/12,38
2023/01/13,47
2023/01/14,39
2023/01/15,45
2023/01/16,33
2023/01/17,24
2023/01/18,24
2023/01/19,15
2023/01/20,22
2023/01/21,10
2023/01/22,21
2023/01/23,32
2023/01/24,19
2023/01/25,25
2023/01/26,28
2023/01/27,20
2023/01/28,33
2023/01/29,31
2023/01/30,37
2023/01/31,50
2023/02/01,27
2023/02/02,16
2023/02/03,22
2023/02/04,22
2023/02/05,9
2023/02/06,12
2023/02/07,17
2023/02/08,24
