Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
6185,2021/06/05,51.6,37.5,81.2
6185,2021/06/06,63.1,36.9,99.9
6185,2021/06/07,86.6,63.1,100.0
6185,2021/06/08,73.0,53.3,92.2
6185,2021/06/09,-999,-999,-999
6185,2021/06/10,56.3,37.6,82.4
6185,2021/06/11,57.9,37.8,74.6
6185,2021/06/12,58.7,36.5,88.1
6185,2021/06/13,47.7,20.9,81.1
6185,2021/06/14,54.9,42.0,71.4
6185,2021/06/15,48.7,36.0,66.1
6185,2021/06/16,55.5,40.6,66.6
6185,2021/06/17,55.7,44.4,68.7
6185,2021/06/18,44.5,32.4,63.0
6185,2021/06/19,47.3,37.8,59.7
6185,2021/06/20,58.9,38.6,80.0
6185,2021/06/21,56.1,40.2,84.2
6185,2021/06/22,57.4,37.0,79.2
6185,2021/06/23,56.3,41.0,83.9
6185,2021/06/24,49.0,32.4,66.6
6185,2021/06/25,53.0,31.6,81.8
6185,2021/06/26,52.8,33.3,81.7
6185,2021/06/27,50.3,33.3,76.8
6185,2021/06/28,46.7,30.4,67.1
6185,2021/06/29,50.8,37.2,69.9
6185,2021/06/30,57.2,31.1,81.7
6185,2021/07/01,49.3,24.3,81.3
6185,2021/07/02,48.3,27.1,67.5
6185,2021/07/03,57.6,44.5,79.9
6185,2021/07/04,85.8,71.3,99.0
6185,2021/07/05,64.4,28.6,100.0
6185,2021/07/06,50.1,34.6,72.5
6185,2021/07/07,62.1,38.9,81.1
6185,2021/07/08,79.3,48.9,99.4
6185,2021/07/09,58.9,30.7,93.4
6185,2021/07/10,51.1,28.5,83.2
6185,2021/07/11,54.3,30.8,83.8
6185,2021/07/12,59.8,44.8,80.4
6185,2021/07/13,67.6,44.7,81.8
6185,2021/07/14,66.3,45.5,86.0
6185,2021/07/15,67.1,53.2,83.4
6185,2021/07/16,64.3,40.4,89.8
6185,2021/07/17,63.3,42.9,85.0
6185,2021/07/18,59.0,34.7,87.8
6185,2021/07/19,47.3,28.8,65.7
6185,2021/07/20,46.3,35.6,67.9
6185,2021/07/21,51.0,38.0,68.7
6185,2021/07/22,53.7,40.0,66.7
6185,2021/07/23,57.7,41.7,72.0
6185,2021/07/24,61.5,48.5,72.5
6185,2021/07/25,70.4,51.7,84.6
6185,2021/07/26,76.4,55.2,96.8
6185,2021/07/27,77.2,61.6,87.8
6185,2021/07/28,69.9,50.8,88.7
6185,2021/07/29,61.0,39.4,87.3
6185,2021/07/30,67.1,51.3,88.7
6185,2021/07/31,70.7,45.9,94.7
6185,2021/08/01,77.0,54.4,95.8
6185,2021/08/02,65.1,45.6,95.5
6185,2021/08/03,65.3,45.3,79.4
6185,2021/08/04,83.4,68.2,99.0
6185,2021/08/05,71.3,37.1,100.0
6185,2021/08/06,62.0,32.2,85.0
6185,2021/08/07,66.7,54.3,84.0
6185,2021/08/08,61.1,42.3,81.0
6185,2021/08/09,55.1,34.7,79.5
6185,2021/08/10,52.6,34.9,87.2
6185,2021/08/11,59.8,37.8,87.5
6185,2021/08/12,52.6,38.4,71.5
6185,2021/08/13,58.1,40.9,82.8
6185,2021/08/14,50.4,37.0,75.0
6185,2021/08/15,47.7,33.7,73.2
6185,2021/08/16,52.5,33.3,85.8
6185,2021/08/17,36.6,22.9,51.7
6185,2021/08/18,48.9,37.2,59.4
6185,2021/08/19,44.8,33.8,55.3
6185,2021/08/20,48.4,33.2,68.5
6185,2021/08/21,47.7,34.5,70.8
6185,2021/08/22,55.1,36.3,80.1
6185,2021/08/23,72.0,43.9,96.1
6185,2021/08/24,57.7,34.4,85.7
